accession,display_name,tax_id,parent_tax_id,sci_name,strain,title,submission_date,seq_length,assembly_level
GCF_013359585.1,ASM1335958v1,47879,136843,Pseudomonas corrugata,C7D2,Pseudomonas corrugata,2020-06-18,6428914,Scaffold
GCF_013359545.1,ASM1335954v1,47879,136843,Pseudomonas corrugata,C8A5,Pseudomonas corrugata,2020-06-18,6641299,Scaffold
GCF_003699065.1,ASM369906v1,47879,136843,Pseudomonas corrugata,NCPPB2445,Pseudomonas corrugata,2018-10-30,6046578,Scaffold
GCF_001412195.1,ASM141219v1,47879,136843,Pseudomonas corrugata,CFBP5403,Pseudomonas corrugata,2015-10-23,6166582,Scaffold
GCF_001412065.1,ASM141206v1,47879,136843,Pseudomonas corrugata,TEIC1148,Pseudomonas corrugata,2015-10-23,6266582,Scaffold
GCF_001411965.1,ASM141196v1,47879,136843,Pseudomonas corrugata,NCPPB2445,Pseudomonas corrugata,2015-10-23,6083940,Scaffold
GCF_001269905.1,ASM126990v1,47879,136843,Pseudomonas corrugata,DSM 7228,Pseudomonas corrugata,2015-08-18,6126732,Contig
GCF_000522485.1,Pco1,1316927,47879,Pseudomonas corrugata CFBP 5454,CFBP 5454,Pseudomonas corrugata CFBP 5454,2014-01-23,6193893,Contig
GCF_900105935.1,IMG-taxon 2645728113 annotated assembly,168469,136843,Pseudomonas costantinii,BS2773,Pseudomonas costantinii,2016-10-22,6711067,Contig
GCF_013386225.1,ASM1338622v1,168469,136843,Pseudomonas costantinii,21815971,Pseudomonas costantinii,2020-07-02,6474602,Scaffold
GCF_013386155.1,ASM1338615v1,168469,136843,Pseudomonas costantinii,21815972,Pseudomonas costantinii,2020-07-02,6636159,Scaffold
GCF_001870435.1,ASM187043v1,168469,136843,Pseudomonas costantinii,LMG 22119,Pseudomonas costantinii,2016-11-07,7247216,Contig
GCF_900104365.1,IMG-taxon 2639762715 annotated assembly,169669,136843,Pseudomonas extremorientalis,BS2774,Pseudomonas extremorientalis,2016-10-20,6373103,Chromosome
GCF_900625005.1,DSM 15824T,169669,136843,Pseudomonas extremorientalis,,Pseudomonas extremorientalis,2019-01-29,6340448,Contig
GCF_008801565.1,ASM880156v1,169669,136843,Pseudomonas extremorientalis,CCUG 51517,Pseudomonas extremorientalis,2019-10-01,6346161,Contig
GCF_001870465.1,ASM187046v1,169669,136843,Pseudomonas extremorientalis,LMG 19695,Pseudomonas extremorientalis,2016-11-07,6345609,Contig
GCF_900215245.1,IMG-taxon 2617270901 annotated assembly,294,136843,Pseudomonas fluorescens,ATCC 13525,Pseudomonas fluorescens,2017-09-06,6511547,Chromosome
GCF_903797685.1,B443,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2020-07-30,5826928,Scaffold
GCF_902498275.1,PS947,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6749079,Scaffold
GCF_902498265.1,PS943,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6485274,Scaffold
GCF_902498255.1,PS938,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6291618,Scaffold
GCF_902498245.1,PS928,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-13,7454519,Scaffold
GCF_902498235.1,PS925,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6962445,Contig
GCF_902498225.1,PS934,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6543376,Scaffold
GCF_902498215.1,PS941,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6683563,Scaffold
GCF_902498205.1,PS914,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-13,7570449,Scaffold
GCF_902498195.1,PS918,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6608123,Scaffold
GCF_902498185.1,PS910,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,4854699,Scaffold
GCF_902498175.1,PS907,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6013679,Scaffold
GCF_902498165.1,PS906,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,5914562,Contig
GCF_902498155.1,PS922,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6450032,Scaffold
GCF_902498145.1,PS865,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6153338,Contig
GCF_902498135.1,PS900,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6812631,Scaffold
GCF_902498125.1,PS847,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6106923,Scaffold
GCF_902498115.1,PS876,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,5823752,Scaffold
GCF_902498105.1,PS850,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6869095,Scaffold
GCF_902498095.1,PS893,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6376713,Scaffold
GCF_902498085.1,PS896,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6410764,Contig
GCF_902498075.1,PS903,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6833382,Scaffold
GCF_902498065.1,PS858,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6211017,Scaffold
GCF_902498055.1,PS861,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-13,8001917,Scaffold
GCF_902498045.1,PS843,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6512546,Scaffold
GCF_902498035.1,PS870,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-13,7101195,Scaffold
GCF_902498025.1,PS880,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6871429,Contig
GCF_902498015.1,PS838,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6869354,Scaffold
GCF_902498005.1,PS898,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6054456,Contig
GCF_902497995.1,PS862,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6465934,Contig
GCF_902497985.1,PS732,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,5886019,Scaffold
GCF_902497975.1,PS854,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6243141,Scaffold
GCF_902497965.1,PS874,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-13,7098510,Scaffold
GCF_902497955.1,PS887,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6067054,Scaffold
GCF_902497945.1,PS834,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6296691,Contig
GCF_902497935.1,PS708,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6640566,Scaffold
GCF_902497925.1,PS718,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6292867,Scaffold
GCF_902497915.1,PS710,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-13,7214667,Scaffold
GCF_902497905.1,PS720,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-13,7079388,Scaffold
GCF_902497895.1,PS691,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6340107,Contig
GCF_902497885.1,PS704,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6534016,Scaffold
GCF_902497875.1,PS723,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-13,7219127,Scaffold
GCF_902497865.1,PS689,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6163106,Scaffold
GCF_902497855.1,PS833,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-13,7408731,Scaffold
GCF_902497845.1,PS712,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6642968,Scaffold
GCF_902497835.1,PS706,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6520755,Scaffold
GCF_902497825.1,PS726,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-13,7051069,Scaffold
GCF_902497815.1,PS685,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,5669670,Scaffold
GCF_902497805.1,PS687,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6671824,Scaffold
GCF_902497795.1,PS684,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6850527,Scaffold
GCF_902497785.1,PS662,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6641444,Scaffold
GCF_902497775.1,PS652,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6021803,Scaffold
GCF_902497765.1,PS627,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,5570306,Scaffold
GCF_902497755.1,PS639,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-13,7025944,Scaffold
GCF_902497745.1,PS655,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6816589,Scaffold
GCF_902497735.1,PS634,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6078312,Scaffold
GCF_902497725.1,PS647,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-13,6861507,Scaffold
GCF_902497715.1,PS659,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6788906,Scaffold
GCF_902497705.1,PS663,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6324803,Contig
GCF_902497695.1,PS631,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,5503771,Scaffold
GCF_902497685.1,PS683,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6097648,Scaffold
GCF_902497675.1,PS681,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-13,6777780,Scaffold
GCF_902497665.1,PS676,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6427408,Contig
GCF_902497655.1,PS664,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6598104,Scaffold
GCF_902497645.1,PS623,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,5248910,Scaffold
GCF_902497635.1,PS682,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6162889,Scaffold
GCF_902497625.1,PS645,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,5853376,Scaffold
GCF_902497615.1,PS619,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-13,7046735,Scaffold
GCF_902497605.1,PS624,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6661278,Scaffold
GCF_902497595.1,PS673,294,136843,Pseudomonas fluorescens,,Pseudomonas fluorescens,2019-09-12,6349766,Contig
GCF_900636825.1,44858_E01,294,136843,Pseudomonas fluorescens,NCTC9428,Pseudomonas fluorescens,2018-12-20,6033966,Complete Genome
GCF_900636635.1,43721_H02,294,136843,Pseudomonas fluorescens,NCTC10783,Pseudomonas fluorescens,2018-12-20,6866429,Complete Genome
GCF_900475215.1,42727_B01,294,136843,Pseudomonas fluorescens,NCTC10038,Pseudomonas fluorescens,2018-06-17,6515171,Complete Genome
GCF_900455485.1,56269_H02,294,136843,Pseudomonas fluorescens,NCTC3756,Pseudomonas fluorescens,2018-08-01,6017774,Contig
GCF_900455465.1,44858_F01,294,136843,Pseudomonas fluorescens,NCTC10392,Pseudomonas fluorescens,2018-08-01,6380253,Contig
GCF_016405555.1,ASM1640555v1,294,136843,Pseudomonas fluorescens,MF7441,Pseudomonas fluorescens,2020-12-26,6070436,Contig
GCF_016405335.1,ASM1640533v1,294,136843,Pseudomonas fluorescens,MF2830,Pseudomonas fluorescens,2020-12-26,5974117,Contig
GCF_016405165.1,ASM1640516v1,294,136843,Pseudomonas fluorescens,sp.,Pseudomonas fluorescens,2020-12-26,6189265,Scaffold
GCF_016009125.1,ASM1600912v1,294,136843,Pseudomonas fluorescens,PSB00019,Pseudomonas fluorescens,2020-12-13,6123686,Scaffold
GCF_015074865.1,ASM1507486v1,294,136843,Pseudomonas fluorescens,KF1,Pseudomonas fluorescens,2020-10-29,6957239,Complete Genome
GCF_014842605.1,ASM1484260v1,294,136843,Pseudomonas fluorescens,CFBP8776,Pseudomonas fluorescens,2020-10-04,6046465,Contig
GCF_014842575.1,ASM1484257v1,294,136843,Pseudomonas fluorescens,CFBP13700,Pseudomonas fluorescens,2020-10-04,6020185,Contig
GCF_014842555.1,ASM1484255v1,294,136843,Pseudomonas fluorescens,CFBP13702,Pseudomonas fluorescens,2020-10-04,6019882,Contig
GCF_014842515.1,ASM1484251v1,294,136843,Pseudomonas fluorescens,CFBP8778,Pseudomonas fluorescens,2020-10-04,6013069,Contig
GCF_014842485.1,ASM1484248v1,294,136843,Pseudomonas fluorescens,CFBP8780,Pseudomonas fluorescens,2020-10-04,5803652,Contig
GCF_014842475.1,ASM1484247v1,294,136843,Pseudomonas fluorescens,CFBP13611,Pseudomonas fluorescens,2020-10-04,6046369,Contig
GCF_014842435.1,ASM1484243v1,294,136843,Pseudomonas fluorescens,CFBP13604,Pseudomonas fluorescens,2020-10-04,6242560,Contig
GCF_014842405.1,ASM1484240v1,294,136843,Pseudomonas fluorescens,CFBP8781,Pseudomonas fluorescens,2020-10-04,5802148,Contig
GCF_014842345.1,ASM1484234v1,294,136843,Pseudomonas fluorescens,CFBP13703,Pseudomonas fluorescens,2020-10-04,5804470,Contig
GCF_014842335.1,ASM1484233v1,294,136843,Pseudomonas fluorescens,CFBP13701,Pseudomonas fluorescens,2020-10-04,5766540,Contig
GCF_014841405.1,ASM1484140v1,294,136843,Pseudomonas fluorescens,CFBP13573,Pseudomonas fluorescens,2020-10-04,6390377,Contig
GCF_014839275.1,ASM1483927v1,294,136843,Pseudomonas fluorescens,CFBP8768,Pseudomonas fluorescens,2020-10-02,6155614,Contig
GCF_014839225.1,ASM1483922v1,294,136843,Pseudomonas fluorescens,CFBP13533,Pseudomonas fluorescens,2020-10-02,6107913,Contig
GCF_014839035.1,ASM1483903v1,294,136843,Pseudomonas fluorescens,CFBP13649,Pseudomonas fluorescens,2020-10-02,6315997,Contig
GCF_014839025.1,ASM1483902v1,294,136843,Pseudomonas fluorescens,CFBP8787,Pseudomonas fluorescens,2020-10-02,6016319,Contig
GCF_014838965.1,ASM1483896v1,294,136843,Pseudomonas fluorescens,CFBP8788,Pseudomonas fluorescens,2020-10-02,6045815,Contig
GCF_014838915.1,ASM1483891v1,294,136843,Pseudomonas fluorescens,CFBP8789,Pseudomonas fluorescens,2020-10-02,6046475,Contig
GCF_014838845.1,ASM1483884v1,294,136843,Pseudomonas fluorescens,CFBP8793,Pseudomonas fluorescens,2020-10-02,5799590,Contig
GCF_014838805.1,ASM1483880v1,294,136843,Pseudomonas fluorescens,CFBP8796,Pseudomonas fluorescens,2020-10-02,5802756,Contig
GCF_014436655.1,ASM1443665v1,294,136843,Pseudomonas fluorescens,MFP05,Pseudomonas fluorescens,2020-09-02,6610034,Contig
GCF_014194145.1,ASM1419414v1,294,136843,Pseudomonas fluorescens,513,Pseudomonas fluorescens,2020-08-14,6354979,Scaffold
GCF_013401475.1,ASM1340147v1,294,136843,Pseudomonas fluorescens,W-6,Pseudomonas fluorescens,2020-07-11,6109123,Complete Genome
GCF_012986955.1,ASM1298695v1,294,136843,Pseudomonas fluorescens,WS 5037,Pseudomonas fluorescens,2020-05-07,6247579,Contig
GCF_012974785.1,ASM1297478v1,294,136843,Pseudomonas fluorescens,G7,Pseudomonas fluorescens,2020-05-05,6336169,Complete Genome
GCF_012273675.1,ASM1227367v1,294,136843,Pseudomonas fluorescens,B98SK52,Pseudomonas fluorescens,2020-04-12,6215101,Scaffold
GCF_012273665.1,ASM1227366v1,294,136843,Pseudomonas fluorescens,B98C39,Pseudomonas fluorescens,2020-04-12,6216409,Scaffold
GCF_012273645.1,ASM1227364v1,294,136843,Pseudomonas fluorescens,B98SM8,Pseudomonas fluorescens,2020-04-12,6213627,Scaffold
GCF_011440265.1,ASM1144026v1,294,136843,Pseudomonas fluorescens,DSM 11579,Pseudomonas fluorescens,2020-03-18,6132341,Contig
GCF_010668965.1,ASM1066896v1,294,136843,Pseudomonas fluorescens,DR133,Pseudomonas fluorescens,2020-02-15,6847892,Complete Genome
GCF_010448615.1,ASM1044861v1,294,136843,Pseudomonas fluorescens,DR397,Pseudomonas fluorescens,2020-02-12,6418441,Complete Genome
GCF_009765425.1,ASM976542v1,294,136843,Pseudomonas fluorescens,BAV 3226,Pseudomonas fluorescens,2019-12-18,6056447,Contig
GCF_007858165.1,ASM785816v1,294,136843,Pseudomonas fluorescens,DSM 50090,Pseudomonas fluorescens,2019-08-06,6374365,Contig
GCF_006540245.1,ASM654024v1,294,136843,Pseudomonas fluorescens,NBRC 15842,Pseudomonas fluorescens,2019-06-12,6981783,Contig
GCF_006505855.1,ASM650585v1,294,136843,Pseudomonas fluorescens,CFBP 13502,Pseudomonas fluorescens,2019-06-28,6144992,Contig
GCF_006494335.1,ASM649433v1,294,136843,Pseudomonas fluorescens,CPM15,Pseudomonas fluorescens,2019-06-26,6462267,Contig
GCF_005938625.1,ASM593862v1,294,136843,Pseudomonas fluorescens,HKI0874,Pseudomonas fluorescens,2019-06-03,6954842,Contig
GCF_005233695.1,ASM523369v1,294,136843,Pseudomonas fluorescens,CFBP13510,Pseudomonas fluorescens,2019-05-07,6347968,Contig
GCF_005233585.1,ASM523358v1,294,136843,Pseudomonas fluorescens,CFBP13517,Pseudomonas fluorescens,2019-05-07,5954142,Contig
GCF_004683905.1,ASM468390v1,294,136843,Pseudomonas fluorescens,LBUM677,Pseudomonas fluorescens,2019-04-06,6140320,Complete Genome
GCF_004614275.1,ASM461427v1,294,136843,Pseudomonas fluorescens,BRZ63,Pseudomonas fluorescens,2019-04-03,6335040,Contig
GCF_004346535.1,ASM434653v1,294,136843,Pseudomonas fluorescens,FW300 25_6,Pseudomonas fluorescens,2019-03-11,6715896,Scaffold
GCF_003940565.1,ASM394056v1,294,136843,Pseudomonas fluorescens,PF_150,Pseudomonas fluorescens,2018-12-11,5910827,Scaffold
GCF_003732815.1,ASM373281v1,294,136843,Pseudomonas fluorescens,90D7A,Pseudomonas fluorescens,2018-11-15,5961813,Scaffold
GCF_003732795.1,ASM373279v1,294,136843,Pseudomonas fluorescens,89F1,Pseudomonas fluorescens,2018-11-15,5950989,Scaffold
GCF_003732755.1,ASM373275v1,294,136843,Pseudomonas fluorescens,2F9,Pseudomonas fluorescens,2018-11-15,6594226,Scaffold
GCF_003732745.1,ASM373274v1,294,136843,Pseudomonas fluorescens,24D3,Pseudomonas fluorescens,2018-11-15,6401674,Scaffold
GCF_003732725.1,ASM373272v1,294,136843,Pseudomonas fluorescens,48D1,Pseudomonas fluorescens,2018-11-15,6294190,Scaffold
GCF_003732425.1,ASM373242v1,294,136843,Pseudomonas fluorescens,28B5,Pseudomonas fluorescens,2018-11-15,6348319,Scaffold
GCF_003732405.1,ASM373240v1,294,136843,Pseudomonas fluorescens,36G2,Pseudomonas fluorescens,2018-11-15,6719479,Scaffold
GCF_003732345.1,ASM373234v1,294,136843,Pseudomonas fluorescens,36F3,Pseudomonas fluorescens,2018-11-15,6521700,Scaffold
GCF_003732335.1,ASM373233v1,294,136843,Pseudomonas fluorescens,90F12-2,Pseudomonas fluorescens,2018-11-15,5869663,Scaffold
GCF_003700755.1,ASM370075v1,294,136843,Pseudomonas fluorescens,ICMP 3512,Pseudomonas fluorescens,2018-10-30,6432945,Scaffold
GCF_003700185.1,ASM370018v1,294,136843,Pseudomonas fluorescens,ICMP 3636,Pseudomonas fluorescens,2018-10-30,6541301,Scaffold
GCF_003626995.1,ASM362699v1,294,136843,Pseudomonas fluorescens,PF08,Pseudomonas fluorescens,2018-10-07,6030573,Complete Genome
GCF_003612935.1,ASM361293v1,294,136843,Pseudomonas fluorescens,SIK_W1,Pseudomonas fluorescens,2018-10-04,6791087,Complete Genome
GCF_003410335.1,ASM341033v1,294,136843,Pseudomonas fluorescens,Pf275,Pseudomonas fluorescens,2018-08-21,6610362,Complete Genome
GCF_003363095.1,ASM336309v1,294,136843,Pseudomonas fluorescens,AHK-1,Pseudomonas fluorescens,2018-08-04,7035786,Scaffold
GCF_003352875.1,ASM335287v1,294,136843,Pseudomonas fluorescens,NEP1,Pseudomonas fluorescens,2018-08-02,6313875,Chromosome
GCF_003349815.1,ASM334981v1,294,136843,Pseudomonas fluorescens,AG1429,Pseudomonas fluorescens,2018-07-31,6540503,Scaffold
GCF_003258965.1,ASM325896v1,294,136843,Pseudomonas fluorescens,LY3,Pseudomonas fluorescens,2018-06-20,6710364,Contig
GCF_003258955.1,ASM325895v1,294,136843,Pseudomonas fluorescens,HPB,Pseudomonas fluorescens,2018-06-20,6402940,Contig
GCF_003055645.1,ASM305564v1,294,136843,Pseudomonas fluorescens,MS82,Pseudomonas fluorescens,2018-04-18,6207556,Complete Genome
GCF_003001635.1,ASM300163v1,294,136843,Pseudomonas fluorescens,74954,Pseudomonas fluorescens,2018-03-14,6385912,Contig
GCF_003001555.1,ASM300155v1,294,136843,Pseudomonas fluorescens,11293,Pseudomonas fluorescens,2018-03-14,6736459,Contig
GCF_002943685.1,ASM294368v1,294,136843,Pseudomonas fluorescens,ATCC 13525,Pseudomonas fluorescens,2018-02-26,6442614,Scaffold
GCF_002909035.1,ASM290903v1,294,136843,Pseudomonas fluorescens,PL5.4,Pseudomonas fluorescens,2018-01-30,6054183,Contig
GCF_002901425.1,ASM290142v1,294,136843,Pseudomonas fluorescens,BWKM6,Pseudomonas fluorescens,2018-01-27,6008217,Contig
GCF_002879715.1,ASM287971v1,294,136843,Pseudomonas fluorescens,FR1,Pseudomonas fluorescens,2018-01-14,6869391,Chromosome
GCF_002837185.1,ASM283718v1,294,136843,Pseudomonas fluorescens,PfR 37,Pseudomonas fluorescens,2017-12-12,5939655,Scaffold
GCF_002417665.1,ASM241766v1,294,136843,Pseudomonas fluorescens,CH267,Pseudomonas fluorescens,2017-10-03,6520080,Contig
